GUID,Electoral Divisions,Population (2022) - F1060C01,ED_ID,ED,COUNTY,PROVINCE,CENTROID_X,CENTROID_Y,AREA,ESRI_OID,Shape__Area,Shape__Length,QoL,a_sense_of_control:cost_of_living,a_sense_of_control:essential_services,a_sense_of_control:influence_and_contribution,a_sense_of_control:safety,a_sense_of_wonder:distinctive_design_and_culture,a_sense_of_wonder:play_and_recreation,connected_communities:belonging,connected_communities:local_business_and_jobs,connection_to_nature:biodiversity,connection_to_nature:climate_resilience_and_adaptation,connection_to_nature:green_and_blue_spaces,getting_around:car,getting_around:public_transport,getting_around:walking_and_cycling,health_equity:air_noise_light,health_equity:food_choice,health_equity:housing_standard
2ae19629-1836-13a3-e055-000000000001,"Agha, Carlow",419,17001,AGHA,CARLOW,Leinster,673756.71,665678.08,12316519.48,476,12316519.48,20131.25048,62,55,68,72,78,63,59,76,54,71,65,79,58,47,61,69,64,48
2ae19629-1837-13a3-e055-000000000001,"Ballinacarrig, Carlow",1122,17002,BALLINACARRIG,CARLOW,Leinster,672629.7,672908.2,16250711.99,1062,16250711.99,23595.57546,60,57,66,70,76,61,57,74,52,69,63,77,56,45,59,67,62,46
2ae19629-1840-13a3-e055-000000000001,"Ballintemple, Carlow",599,17003,BALLINTEMPLE,CARLOW,Leinster,688760.24,666672.3,28342590.2,30,28342590.2,31488.26942,71,64,77,81,87,72,68,85,63,80,74,88,67,56,70,78,73,57
2ae19629-1841-13a3-e055-000000000001,"Ballon, Carlow",788,17004,BALLON,CARLOW,Leinster,683124.29,665181.68,9789628.09,1796,9789628.094,17141.84511,58,53,64,68,74,59,55,72,50,67,61,75,54,43,57,65,60,44
2ae19629-1842-13a3-e055-000000000001,"Ballyellin, Carlow",451,17005,BALLYELLIN,CARLOW,Leinster,671711.49,653811.9,15793618.59,2422,15793618.59,24941.13177,65,59,71,75,81,66,62,79,56,74,68,82,61,49,64,72,67,50
2ae19629-1843-13a3-e055-000000000001,"Ballymoon, Carlow",351,17006,BALLYMOON,CARLOW,Leinster,674701.05,660776.27,14086292.8,1011,14086292.8,18582.69074,56,51,62,66,72,57,53,70,48,65,59,73,52,41,55,63,58,42
2ae19629-184d-13a3-e055-000000000001,"Ballymurphy, Carlow",282,17007,BALLYMURPHY,CARLOW,Leinster,678145.84,644608.79,17999877.05,377,17999877.05,23342.86648,68,61,73,77,83,68,64,81,58,76,70,84,63,51,66,74,69,52
2ae19629-184e-13a3-e055-000000000001,"Borris, Carlow",1084,17008,BORRIS,CARLOW,Leinster,672621.13,650298.8,16050762.04,3247,16050762.04,21527.93405,59,55,65,69,75,60,56,73,51,68,62,76,55,44,58,66,61,45
2ae19629-184f-13a3-e055-000000000001,"Burton Hall, Carlow",529,17009,BURTON HALL,CARLOW,Leinster,677741.93,679798.53,6103130.02,79,6103130.016,19563.1395,63,57,69,73,79,64,60,77,53,72,66,80,58,47,61,69,64,48
2ae19629-1857-13a3-e055-000000000001,"Carlow Rural, Carlow",16203,17010,CARLOW RURAL,CARLOW,Leinster,672786.44,677601.92,22116186.97,614,22116186.97,32736.55753,54,49,60,64,70,55,51,68,46,63,57,71,50,39,53,61,56,40
2ae19629-1858-13a3-e055-000000000001,"Carlow Urban, Carlow",5049,17011,CARLOW URBAN,CARLOW,Leinster,672379.68,676811.02,1845433.85,2592,1845433.841,5984.21994,65,55,70,60,75,60,65,70,60,65,60,60,60,55,65,60,65,50
2ae19629-1859-13a3-e055-000000000001,"Clogrenan, Carlow",1138,17012,CLOGRENAN,CARLOW,Leinster,667272.37,671092.01,17748817.79,1293,17748817.79,22857.45642,72,60,65,65,80,70,70,75,65,75,70,70,65,60,70,70,70,60
2ae19629-185a-13a3-e055-000000000001,"Clonegall, Carlow",1105,17013,CLONEGALL,CARLOW,Leinster,690058.58,661707.17,23344404.17,1550,23344404.17,27379.323,70,62,68,65,75,70,72,73,68,72,68,70,65,62,70,68,72,60
2ae19629-1864-13a3-e055-000000000001,"Clonmore, Carlow",548,17014,CLONMORE,CARLOW,Leinster,695118.19,676475.59,28124547.7,373,28124547.7,30122.99832,68,60,65,65,78,70,68,75,62,72,68,65,62,58,68,68,68,58
2ae19629-1865-13a3-e055-000000000001,"Coonogue, Carlow",211,17015,COONOGUE,CARLOW,Leinster,680424.33,647890.62,15218278.69,262,15218278.69,17753.71662,73,62,70,68,80,72,75,78,65,75,72,70,68,62,72,72,75,62
2ae19629-1866-13a3-e055-000000000001,"Corries, Carlow",560,17016,CORRIES,CARLOW,Leinster,674678.68,656933.32,17630856.78,3032,17630856.78,22470.65141,70,60,68,65,78,72,70,75,62,75,70,68,65,60,70,70,70,60
2ae19629-1872-13a3-e055-000000000001,"Cranemore, Carlow",1218,17017,CRANEMORE,CARLOW,Leinster,686896.45,657900.84,36548559.6,1111,36548559.6,43664.93104,68,58,65,62,75,68,70,72,60,70,68,65,62,58,68,68,68,58
2ae19629-1873-13a3-e055-000000000001,"Fennagh, Carlow",857,17018,FENNAGH,CARLOW,Leinster,677288.8,663729.84,18953393.21,1285,18953393.21,24939.81139,72,62,70,68,80,75,72,78,65,78,72,70,68,62,72,72,75,62
2ae19629-1874-13a3-e055-000000000001,"Garryhill, Carlow",648,17019,GARRYHILL,CARLOW,Leinster,679312.2,658147.2,23852920.62,264,23852920.62,28655.94528,70,60,68,65,78,72,70,75,62,75,70,68,65,60,70,70,70,60
2ae19629-187d-13a3-e055-000000000001,"Glynn, Carlow",395,17020,GLYNN,CARLOW,Leinster,675804.28,638577.51,22594525.48,2492,22594525.48,24360.11916,68,58,65,62,75,68,70,72,60,70,68,65,62,58,68,68,68,58
2ae19629-187e-13a3-e055-000000000001,"Grangeford, Carlow",589,17021,GRANGEFORD,CARLOW,Leinster,681242.66,674826.34,14176362.46,1667,14176362.46,18253.1447,62,55,68,72,78,65,59,75,58,71,63,69,57,48,63,68,61,52
2ae19629-187f-13a3-e055-000000000001,"Hacketstown, Carlow",1226,17022,HACKETSTOWN,CARLOW,Leinster,696656.71,680334.15,22059238.12,3046,22059238.12,30660.06449,75,68,81,85,89,82,76,88,71,84,78,83,70,61,78,81,74,65
2ae19629-1887-13a3-e055-000000000001,"Haroldstown, Carlow",314,17023,HAROLDSTOWN,CARLOW,Leinster,692519.23,678713.29,11538057.05,3424,11538057.05,17196.09095,58,51,64,68,74,61,55,71,54,67,59,65,53,44,59,64,57,48
2ae19629-1888-13a3-e055-000000000001,"Johnstown, Carlow",610,17024,JOHNSTOWN,CARLOW,Leinster,677546.04,676029.89,15588675.49,44,15588675.49,20062.08137,65,58,71,75,81,68,62,78,61,74,66,72,60,51,66,71,64,55
2ae19629-1889-13a3-e055-000000000001,"Kellistown, Carlow",982,17025,KELLISTOWN,CARLOW,Leinster,677124.68,671574.39,20002442.07,960,20002442.07,27423.59164,54,47,60,64,70,57,51,67,50,63,55,61,49,40,55,60,53,44
2ae19629-188a-13a3-e055-000000000001,"Kilbride, Carlow",458,17026,KILBRIDE,CARLOW,Leinster,685815.36,666221.81,14667054.43,1556,14667054.43,24448.42176,71,64,77,81,85,75,69,84,67,80,72,79,66,57,74,77,70,61
2ae19629-1895-13a3-e055-000000000001,"Killedmond, Carlow",458,17027,KILLEDMOND,CARLOW,Leinster,676407.08,652593.79,18801926.93,576,18801926.93,29095.34263,46,39,52,56,62,49,43,59,42,55,47,53,41,32,47,52,45,36
2ae19629-1896-13a3-e055-000000000001,"Killerrig, Carlow",395,17028,KILLERRIG,CARLOW,Leinster,680491.65,678168.7,11113579.64,657,11113579.64,22276.01884,50,43,56,60,66,53,47,63,46,59,51,57,45,36,51,56,49,40
2ae19629-1897-13a3-e055-000000000001,"Kineagh, Carlow",371,17029,KINEAGH,CARLOW,Leinster,683829.31,680249.6,18025149.02,2690,18025149.02,20855.56113,69,62,75,79,83,72,66,82,65,78,70,77,64,55,72,75,68,59
2ae19629-18a0-13a3-e055-000000000001,"Kyle, Carlow",360,17030,KYLE,CARLOW,Leinster,676003.67,648215.88,16829739.21,2236,16829739.21,23704.81979,42,35,48,52,58,45,39,55,38,51,43,49,37,28,43,48,41,32
2ae19629-18a1-13a3-e055-000000000001,"Leighlinbridge, Carlow",1679,17031,LEIGHLINBRIDGE,CARLOW,Leinster,668064.48,662551.95,24797530.08,2939,24797530.08,34561.34223,65,55,60,70,75,68,62,72,58,70,63,65,60,50,68,62,68,52
2ae19629-18a2-13a3-e055-000000000001,"Marley, Carlow",433,17032,MARLEY,CARLOW,Leinster,674195.99,643672.35,15343715.15,3219,15343715.15,27094.88371,62,58,55,65,72,65,60,70,55,68,60,62,58,48,65,60,65,50
2ae19629-18ab-13a3-e055-000000000001,"Muinebeag Rural, Carlow",719,17033,MUINEBEAG RURAL,CARLOW,Leinster,672845.65,661882.9,14830455.88,1124,14830455.88,27629.98671,58,52,50,62,70,62,58,68,52,65,58,60,55,45,62,58,62,48
2ae19629-18ac-13a3-e055-000000000001,"Muinebeag Urban, Carlow",2945,17034,MUINEBEAG URBAN,CARLOW,Leinster,670018.43,661793.62,3104434.49,1182,3104434.487,9117.999235,72,62,68,75,80,70,68,75,65,65,60,62,65,55,72,68,72,60
2ae19629-18ad-13a3-e055-000000000001,"Myshall, Carlow",603,17035,MYSHALL,CARLOW,Leinster,682694.34,657649.56,17264649.95,1981,17264649.95,24771.95758,60,55,52,60,70,60,58,65,50,68,58,62,58,48,60,55,60,48
2ae19629-18ae-13a3-e055-000000000001,"Nurney, Carlow",893,17036,NURNEY,CARLOW,Leinster,672812.57,668931.56,23960312.13,66,23960312.13,28511.8784,63,56,58,68,72,65,60,70,55,68,60,63,60,50,65,60,65,52
2ae19629-18b7-13a3-e055-000000000001,"Oldleighlin, Carlow",606,17037,OLDLEIGHLIN,CARLOW,Leinster,665539.49,664991.9,19344312.81,2171,19344312.81,22762.81236,60,54,52,62,70,62,58,68,52,66,58,60,56,46,62,58,62,50
2ae19629-18b8-13a3-e055-000000000001,"Rahill, Carlow",792,17038,RAHILL,CARLOW,Leinster,686258.67,682591.87,16424595.66,3060,16424595.66,22273.08392,56,50,48,60,68,60,56,66,50,65,56,58,54,44,60,56,60,46
2ae19629-18b9-13a3-e055-000000000001,"Rathanna, Carlow",137,17039,RATHANNA,CARLOW,Leinster,679071.97,653233.27,23400830.17,3179,23400830.17,30716.19125,59,53,50,62,68,62,58,67,52,67,57,60,55,45,62,57,62,48
2ae19629-18c2-13a3-e055-000000000001,"Rathornan, Carlow",438,17040,RATHORNAN,CARLOW,Leinster,665790.31,669102.75,19954574.43,770,19954574.43,31512.66248,61,55,53,63,70,63,59,68,53,68,58,61,57,47,63,59,63,49
2ae19629-18c3-13a3-e055-000000000001,"Rathrush, Carlow",1139,17041,RATHRUSH,CARLOW,Leinster,681550.41,668151.27,23446703.95,2703,23446703.95,24535.24562,67,55,62,70,78,68,59,75,58,72,65,70,60,52,68,71,63,53
2ae19629-18c4-13a3-e055-000000000001,"Rathvilly, Carlow",931,17042,RATHVILLY,CARLOW,Leinster,689267.32,682735.65,12717406.62,688,12717406.62,16230.15221,72,60,68,75,82,73,64,80,63,77,70,75,65,57,73,76,68,58
2ae19629-1816-13a3-e055-000000000001,"Ridge, Carlow",298,17043,RIDGE,CARLOW,Leinster,663673.0,666609.5,17236057.98,2306,17236057.98,26691.33318,59,48,55,62,70,60,51,67,50,64,58,62,52,45,60,63,55,46
2ae19629-1817-13a3-e055-000000000001,"Shangarry, Carlow",568,17044,SHANGARRY,CARLOW,Leinster,682653.8,662773.4,20037790.25,239,20037790.25,27775.19208,80,68,75,83,90,81,72,88,71,85,78,83,73,65,81,84,76,66
2ae19629-1818-13a3-e055-000000000001,"Sliguff, Carlow",559,17045,SLIGUFF,CARLOW,Leinster,671067.5,657156.58,15054972.3,2102,15054972.3,19825.0423,52,41,48,55,62,53,44,59,42,56,51,54,44,38,52,55,47,39
2ae19629-1820-13a3-e055-000000000001,"Tankardstown, Carlow",487,17046,TANKARDSTOWN,CARLOW,Leinster,686288.57,676759.77,16824613.14,2843,16824613.14,21823.28128,76,64,71,79,86,77,69,84,67,81,74,79,70,61,77,80,72,62
2ae19629-1821-13a3-e055-000000000001,"Templepeter, Carlow",470,17047,TEMPLEPETER,CARLOW,Leinster,677730.05,668411.73,15084355.98,16,15084355.98,23762.52691,63,52,59,66,74,65,56,71,54,68,61,66,57,49,65,67,59,50
2ae19629-1822-13a3-e055-000000000001,"Tiknock, Carlow",348,17048,TIKNOCK,CARLOW,Leinster,693026.71,682428.11,10754260.24,2309,10754260.24,17467.15401,84,72,79,87,94,85,76,92,75,89,82,87,77,69,85,88,80,70
2ae19629-1823-13a3-e055-000000000001,"Tinnahinch, Carlow",654,17049,TINNAHINCH,CARLOW,Leinster,673068.3,640988.81,13807857.66,1587,13807857.66,21514.38469,56,45,52,59,66,57,48,63,46,60,54,58,48,42,56,59,51,43
2ae19629-1a55-13a3-e055-000000000001,"Tullow Rural, Carlow",952,17050,TULLOW RURAL,CARLOW,Leinster,686200.01,672223.75,13910421.51,929,13910421.51,27547.21498,70,58,65,73,80,71,62,77,60,75,68,72,63,55,71,74,66,56
2ae19629-1a56-13a3-e055-000000000001,"Tullow Urban, Carlow",4397,17051,TULLOW URBAN,CARLOW,Leinster,685271.27,673142.85,3396009.61,1571,3396009.612,8098.466814,62,55,68,72,78,63,59,71,58,65,61,63,57,48,61,68,62,51
2ae19629-1a57-13a3-e055-000000000001,"Tullowbeg, Carlow",618,17052,TULLOWBEG,CARLOW,Leinster,683009.85,672279.29,12043210.0,1786,12043210.0,17603.30413,71,61,58,76,81,68,65,79,63,73,68,71,65,51,69,75,68,63
2ae19629-1a58-13a3-e055-000000000001,"Williamstown, Carlow",327,17053,WILLIAMSTOWN,CARLOW,Leinster,688719.92,678828.03,15533375.2,1862,15533375.2,23560.81499,68,63,61,73,79,66,63,75,61,71,65,68,62,49,67,72,65,59
2ae19629-1a59-13a3-e055-000000000001,"Graigue Urban, Carlow",1655,17054,GRAIGUE URBAN,CARLOW,Leinster,671449.15,676664.11,520461.28,18,520461.2923,4133.976576,60,53,66,71,76,61,57,69,56,63,59,61,55,46,59,66,60,49
2ae19629-1e0f-13a3-e055-000000000001,"Ardue, Cavan",897,27001,ARDUE,CAVAN,Ulster,631367.27,816487.07,25507057.56,1635,25507057.56,30957.30009,73,63,60,78,83,70,67,81,65,75,70,73,67,53,71,77,70,65
2ae19629-1e1a-13a3-e055-000000000001,"Arvagh, Cavan",967,27002,ARVAGH,CAVAN,Ulster,628655.32,798598.09,29458034.45,172,29458034.45,31900.40052,70,60,57,75,80,67,64,78,62,72,67,70,64,50,68,74,67,62
2ae19629-1e1b-13a3-e055-000000000001,"Ashfield, Cavan",414,27003,ASHFIELD,CAVAN,Ulster,656072.79,814390.23,17532067.24,3236,17532067.24,25430.61257,75,65,62,80,85,72,69,83,67,77,72,75,69,55,73,79,72,67
2ae19629-1c98-13a3-e055-000000000001,"Bailieborough, Cavan",4230,27004,BAILIEBOROUGH,CAVAN,Ulster,667307.45,798091.22,46192199.66,1557,46192199.66,37817.07364,65,58,70,74,80,65,61,73,60,68,63,66,60,48,63,70,64,55
2ae19629-1c99-13a3-e055-000000000001,"Ballintemple, Cavan",431,27005,BALLINTEMPLE,CAVAN,Ulster,638116.82,794294.06,16798711.53,3268,16798711.53,29934.24735,78,68,65,82,87,74,71,85,69,79,74,77,71,57,75,81,74,69
2ae19629-1cd8-13a3-e055-000000000001,"Ballyconnell, Cavan",1859,27006,BALLYCONNELL,CAVAN,Ulster,627284.54,819113.03,28069547.0,1449,28069547.0,40691.13989,72,62,59,77,82,69,66,80,64,74,69,72,66,52,70,76,69,64
2ae19629-1cd9-13a3-e055-000000000001,"Ballyhaise, Cavan",1152,27007,BALLYHAISE,CAVAN,Ulster,644434.13,810986.37,17663038.19,1097,17663038.19,29406.18453,65,60,55,62,70,68,63,72,58,75,68,70,63,52,68,70,62,58
2ae19629-1cf1-13a3-e055-000000000001,"Ballyjamesduff, Cavan",3548,27008,BALLYJAMESDUFF,CAVAN,Ulster,651790.41,792028.91,21566296.98,3379,21566296.98,30022.63957,63,58,53,60,68,65,60,70,55,72,65,68,60,50,65,68,60,55
2ae19629-1cf2-13a3-e055-000000000001,"Ballymachugh, Cavan",838,27009,BALLYMACHUGH,CAVAN,Ulster,644691.0,787007.98,36056689.38,577,36056689.38,35382.70234,60,55,50,58,65,62,58,68,52,70,62,65,58,48,62,65,58,52
2ae19629-1d13-13a3-e055-000000000001,"Ballymagauran, Cavan",236,27010,BALLYMAGAURAN,CAVAN,Ulster,619811.21,814655.75,15884640.84,2433,15884640.84,28066.06583,58,53,48,55,62,60,55,65,50,68,60,62,55,45,60,62,55,50
2ae19629-1d14-13a3-e055-000000000001,"Bawnboy, Cavan",625,27011,BAWNBOY,CAVAN,Ulster,621359.12,819219.14,30783493.44,694,30783493.45,27360.69252,55,50,45,52,60,58,52,62,48,65,58,60,52,42,58,60,52,48
2ae19629-1d32-13a3-e055-000000000001,"Bellananagh, Cavan",1628,27012,BELLANANAGH,CAVAN,Ulster,639895.12,797973.75,15006581.38,2207,15006581.38,31682.47564,62,58,52,60,68,65,60,70,55,72,65,68,60,50,65,68,60,55
2ae19629-1d33-13a3-e055-000000000001,"Belturbet, Cavan",1759,27013,BELTURBET,CAVAN,Ulster,636555.28,817344.39,4573059.22,1903,4573059.222,10424.88784,68,62,58,65,72,70,65,75,60,78,70,72,65,55,70,72,65,60
2ae19629-1d51-13a3-e055-000000000001,"Bilberry, Cavan",199,27015,BILBERRY,CAVAN,Ulster,626814.96,812968.32,12038706.79,1680,12038706.79,20739.80497,56,52,48,53,62,58,53,63,48,68,58,60,53,43,58,60,53,48
